"EMC 62/2017 PL678716 => PL 6787/2016","André Figueiredo","60000000773","2683000"
"EMC 63/2017 PL678716 => PL 6787/2016","André Figueiredo","60000000773","2683000"
"EMC 64/2017 PL678716 => PL 6787/2016","Mauro Pereira","210000000113","662219.52"
"EMC 65/2017 PL678716 => PL 6787/2016","Celso Maldaner","240000000234","2637480"
"EMC 66/2017 PL678716 => PL 6787/2016","Celso Maldaner","240000000234","2637480"
"EMC 67/2017 PL678716 => PL 6787/2016","Celso Maldaner","240000000234","2637480"
"EMC 68/2017 PL678716 => PL 6787/2016","Celso Maldaner","240000000234","2637480"
"EMC 69/2017 PL678716 => PL 6787/2016","Celso Maldaner","240000000234","2637480"
"EMC 70/2017 PL678716 => PL 6787/2016","Celso Maldaner","240000000234","2637480"
"EMC 71/2017 PL678716 => PL 6787/2016","Celso Maldaner","240000000234","2637480"
"EMC 72/2017 PL678716 => PL 6787/2016","Celso Maldaner","240000000234","2637480"
"EMC 73/2017 PL678716 => PL 6787/2016","Celso Maldaner","240000000234","2637480"
"EMC 74/2017 PL678716 => PL 6787/2016","Celso Maldaner","240000000234","2637480"
"EMC 75/2017 PL678716 => PL 6787/2016","Celso Maldaner","240000000234","2637480"
"EMC 76/2017 PL678716 => PL 6787/2016","Celso Maldaner","240000000234","2637480"
"EMC 77/2017 PL678716 => PL 6787/2016","Celso Maldaner","240000000234","2637480"
"EMC 78/2017 PL678716 => PL 6787/2016","Celso Maldaner","240000000234","2637480"
"EMC 79/2017 PL678716 => PL 6787/2016","Celso Maldaner","240000000234","2637480"
"EMC 80/2017 PL678716 => PL 6787/2016","Celso Maldaner","240000000234","2637480"
"EMC 81/2017 PL678716 => PL 6787/2016","Celso Maldaner","240000000234","2637480"
"EMC 82/2017 PL678716 => PL 6787/2016","Celso Maldaner","240000000234","2637480"
"EMC 83/2017 PL678716 => PL 6787/2016","Laercio Oliveira","260000000091","3328625.12"
"EMC 84/2017 PL678716 => PL 6787/2016","Laercio Oliveira","260000000091","3328625.12"
"EMC 85/2017 PL678716 => PL 6787/2016","Laercio Oliveira","260000000091","3328625.12"
"EMC 86/2017 PL678716 => PL 6787/2016","Laercio Oliveira","260000000091","3328625.12"
"EMC 87/2017 PL678716 => PL 6787/2016","Laercio Oliveira","260000000091","3328625.12"
"EMC 88/2017 PL678716 => PL 6787/2016","Laercio Oliveira","260000000091","3328625.12"
"EMC 89/2017 PL678716 => PL 6787/2016","Laercio Oliveira","260000000091","3328625.12"
"EMC 90/2017 PL678716 => PL 6787/2016","Laercio Oliveira","260000000091","3328625.12"
"EMC 91/2017 PL678716 => PL 6787/2016","Laercio Oliveira","260000000091","3328625.12"
"EMC 92/2017 PL678716 => PL 6787/2016","Laercio Oliveira","260000000091","3328625.12"
"EMC 93/2017 PL678716 => PL 6787/2016","Laercio Oliveira","260000000091","3328625.12"
"EMC 94/2017 PL678716 => PL 6787/2016","Laercio Oliveira","260000000091","3328625.12"
"EMC 95/2017 PL678716 => PL 6787/2016","Laercio Oliveira","260000000091","3328625.12"
"EMC 96/2017 PL678716 => PL 6787/2016","Laercio Oliveira","260000000091","3328625.12"
"EMC 97/2017 PL678716 => PL 6787/2016","Laercio Oliveira","260000000091","3328625.12"
"EMC 98/2017 PL678716 => PL 6787/2016","Laercio Oliveira","260000000091","3328625.12"
"EMC 99/2017 PL678716 => PL 6787/2016","Laercio Oliveira","260000000091","3328625.12"
"EMC 100/2017 PL678716 => PL 6787/2016","Laercio Oliveira","260000000091","3328625.12"
"EMC 101/2017 PL678716 => PL 6787/2016","Laercio Oliveira","260000000091","3328625.12"
"EMC 102/2017 PL678716 => PL 6787/2016","Laercio Oliveira","260000000091","3328625.12"
"EMC 103/2017 PL678716 => PL 6787/2016","Diego Garcia","160000001136","259003.44000000003"
"EMC 104/2017 PL678716 => PL 6787/2016","Gorete Pereira","60000000586","1762360"
"EMC 105/2017 PL678716 => PL 6787/2016","Gorete Pereira","60000000586","1762360"
"EMC 106/2017 PL678716 => PL 6787/2016","Vanderlei Macris","250000001318","3157347.2"
"EMC 107/2017 PL678716 => PL 6787/2016","Vanderlei Macris","250000001318","3157347.2"
"EMC 108/2017 PL678716 => PL 6787/2016","Vanderlei Macris","250000001318","3157347.2"
"EMC 109/2017 PL678716 => PL 6787/2016","Vanderlei Macris","250000001318","3157347.2"
"EMC 110/2017 PL678716 => PL 6787/2016","Vanderlei Macris","250000001318","3157347.2"
"EMC 111/2017 PL678716 => PL 6787/2016","Vanderlei Macris","250000001318","3157347.2"
"EMC 112/2017 PL678716 => PL 6787/2016","Vanderlei Macris","250000001318","3157347.2"
"EMC 113/2017 PL678716 => PL 6787/2016","Vanderlei Macris","250000001318","3157347.2"
"EMC 114/2017 PL678716 => PL 6787/2016","Vanderlei Macris","250000001318","3157347.2"
"EMC 115/2017 PL678716 => PL 6787/2016","Vanderlei Macris","250000001318","3157347.2"
"EMC 116/2017 PL678716 => PL 6787/2016","Vanderlei Macris","250000001318","3157347.2"
"EMC 117/2017 PL678716 => PL 6787/2016","Vanderlei Macris","250000001318","3157347.2"
"EMC 118/2017 PL678716 => PL 6787/2016","Vanderlei Macris","250000001318","3157347.2"
"EMC 119/2017 PL678716 => PL 6787/2016","Vanderlei Macris","250000001318","3157347.2"
"EMC 120/2017 PL678716 => PL 6787/2016","Vanderlei Macris","250000001318","3157347.2"
"EMC 121/2017 PL678716 => PL 6787/2016","Vanderlei Macris","250000001318","3157347.2"
"EMC 122/2017 PL678716 => PL 6787/2016","Vanderlei Macris","250000001318","3157347.2"
"EMC 123/2017 PL678716 => PL 6787/2016","Vanderlei Macris","250000001318","3157347.2"
"EMC 124/2017 PL678716 => PL 6787/2016","Vanderlei Macris","250000001318","3157347.2"
"EMC 125/2017 PL678716 => PL 6787/2016","Vanderlei Macris","250000001318","3157347.2"
"EMC 126/2017 PL678716 => PL 6787/2016","Vanderlei Macris","250000001318","3157347.2"
"EMC 127/2017 PL678716 => PL 6787/2016","Vanderlei Macris","250000001318","3157347.2"
"EMC 128/2017 PL678716 => PL 6787/2016","Vanderlei Macris","250000001318","3157347.2"
"EMC 129/2017 PL678716 => PL 6787/2016","Vanderlei Macris","250000001318","3157347.2"
"EMC 130/2017 PL678716 => PL 6787/2016","Vanderlei Macris","250000001318","3157347.2"
"EMC 131/2017 PL678716 => PL 6787/2016","Vanderlei Macris","250000001318","3157347.2"
"EMC 132/2017 PL678716 => PL 6787/2016","Vanderlei Macris","250000001318","3157347.2"
"EMC 133/2017 PL678716 => PL 6787/2016","Celso Maldaner","240000000234","2637480"
"EMC 134/2017 PL678716 => PL 6787/2016","Celso Maldaner","240000000234","2637480"
"EMC 135/2017 PL678716 => PL 6787/2016","Celso Maldaner","240000000234","2637480"
"EMC 136/2017 PL678716 => PL 6787/2016","Celso Maldaner","240000000234","2637480"
"EMC 137/2017 PL678716 => PL 6787/2016","Celso Maldaner","240000000234","2637480"
"EMC 138/2017 PL678716 => PL 6787/2016","Celso Maldaner","240000000234","2637480"
