uf;municipio;taxa;homicidios;população
SC;Florianópolis;30;142;485.838
MG;Sabará;29.9;34;135.968
PA;Santarém;29.9;88;296.302
MS;Corumbá;29.6;30;109.899
MG;Juiz de Fora;29.2;137;563.769
MT;Várzea Grande;29;77;274.013
MT;Cuiabá;28.8;162;590.118
PB;Patos;28.8;31;107.790
RS;Santa Cruz do Sul;28.3;36;127.429
PI;Parnaíba;27.9;38;150.547
PR;Campo Largo;27.9;34;127.309
SC;Palhoça;27.9;42;164.926
SP;Caraguatatuba;27.9;27;116.786
MA;Caxias;27.8;42;162.657
PR;Umuarama;27.7;30;109.955
MG;Sete Lagoas;27.2;57;236.228
ES;Colatina;27.1;33;124.525
PR;Cascavel;27.1;82;319.608
RS;Passo Fundo;27.1;51;198.799
RS;Caxias do Sul;27.1;129;483.377
PA;São Félix do Xingu;27;33;124.806
MG;Ibirité;26.9;35;177.475
MG;Belo Horizonte;26.7;543;2.523.794
MG;Divinópolis;26.4;59;234.937
MG;Ubá;26;27;113.300
RS;Santa Maria;24.9;68;278.445
RJ;Volta Redonda;24.7;63;265.201
PR;Curitiba;24.6;448;1.908.359
PR;Londrina;24.4;132;558.439
SP;Guaratinguetá;24.3;23;120.417
SP;Taboão da Serra;23.5;32;279.634
MA;Codó;23.2;26;120.810
SP;Jandira;23;21;121.492
ES;Cachoeiro de Itapemirim;22.8;44;211.649
SC;Itajaí;22.6;47;212.615
SC;Joinville;22.4;129;577.077
SP;São Carlos;22.1;32;246.088
SP;Santo André;21.7;82;715.231
SP;Cubatão;21.5;20;128.748
SP;Itapevi;21.3;37;229.502
PR;Ponta Grossa;20.9;64;344.332
SP;Pindamonhangaba;20.9;21;164.000
DF;Brasília;20.5;610;3.039.444
MG;Montes Claros;20.3;52;402.027
SP;São Vicente;20.3;53;360.380
SP;Assis;20.3;9;102.924
MG;Teófilo Otoni;20.2;25;141.934
SP;Sumaré;20.2;53;273.007
MG;Coronel Fabriciano;20.1;21;110.326
MG;Uberlândia;19.8;119;676.613
SP;Barueri;19.8;41;267.534
SC;São José;19.6;45;239.718
SP;Taubaté;19.6;43;307.953
SP;Guarulhos;19.6;197;1.349.113
SP;Praia Grande;19.4;35;310.024
SP;Mauá;19.3;52;462.005
MG;Muriaé;19;20;108.537
MG;Itabira;19;22;119.285
MS;Campo Grande;18.8;142;874.210
SP;Osasco;18.8;101;697.886
SP;Poá;18.5;20;115.488
RS;Bagé;18.4;22;122.209
RS;Erechim;18.4;19;103.437
SP;Guarujá;18.4;42;315.563
SP;Itaquaquecetuba;18.3;50;360.657
SP;Suzano;18.3;42;290.769
SC;Chapecó;18;38;213.279
SP;Embu das Artes;18;16;267.054
SP;Campinas;18;196;1.182.429
SP;São José do Rio Preto;17.8;48;450.657
SP;Cotia;17.3;30;237.750
SP;Jacareí;17.3;37;229.851
RJ;Nova Friburgo;17.1;15;185.381
SP;Barretos;17.1;15;120.638
RJ;Teresópolis;16.9;28;176.060
SP;Presidente Prudente;16.9;38;225.271
SP;Diadema;16.8;59;417.869
SP;Francisco Morato;16.7;23;171.602
MG;Uberaba;16.4;52;328.272
SP;Ourinhos;16.1;11;111.813
PR;Arapongas;16;19;118.477
SP;Araçatuba;16;29;194.874
SP;Itapetininga;15.9;15;160.070
PA;Cametá;15.7;21;134.100
SP;Hortolândia;15.5;31;222.186
