Santher - Fábrica de Papel Santa Therezinha S/A;2008-11-30;1;3000;3000; 270360; 7.51;;;;
D'Avó Supermercados Ltda;2008-12-29;1;3464;4994; 368320; 7.51;;;;
Center Norte SA - Construção. Empreendimentos. Administração e Participação;2008-11-06;1;25000;25000; 1974000; 6.58;;345153;335775;271147
Serviço Social da Indústria (SESI) e Serviço Nacional de Aprendizagem Industrial (SENAI);2009-01-23;1;22517;22387; 1536644; 5.72;;;;
Banco Citibank S/A;2009-01-28;1;2545;3000; 540720; 7.51;;16153;29525;24273
Hotelaria Accor Brasil S/A;2009-01-30;1;30003;26164; 3728206; 6.26;;412761;411713;376638
Shopping Cidade Jardim S/A;2009-01-26;1;3000;3000; 270360; 7.51; 7.51;;;
Gerdau Aços Longos SA;2009-01-19;1;3000;3000; 270360; 7.51; 7.51;;;
Associação Congregação de Santa Catarina ;2009-01-09;1;5500;6000; 1081440; 7.51;;;;
Eletropaulo Metropolitana Eletricidade de São Paulo S A;2009-02-04;1;2675;6473; 583347; 7.51;;;;
Dow Brasil Sudeste Industrial Ltda;2009-03-30;1;18752;20001; 1373994; 5.31;;225024;225024;187986
Prosegur Brasil SA Transportes de Valores e Segurança;2009-03-30;1;2614;3180; 391339; 7.34;;36923;41154;32955
Shopping Center Leste Comercial Ltda e Central Plaza Comercial Ltda ;2009-03-25;1;40001;25000; 2814000; 2.80;;533888;555462;485458
Comdomínio Shopping Center Ibirapuera;2009-03-26;1;11000;11000; 1861200; 7.05;;;;
Estanplaza Administradora Hoteleira e Comercial Ltda;2009-04-13;1;5041;3202; 577128; 7.51; 7.51;73243;76646;60970
Unimed Paulistana Sociedade Cooperativa de Trabalho Médico;2009-04-24;1;3998;4254; 766741; 7.51; 7.51;59790;68085;79104
Fundação Visconde de Porto Seguro;2009-05-05;1;5000;5000; 901200; 7.51; 7.51;;;
Empresa Brasileira de Infraestrutura Aeroportuária - Infraero;2009-05-01;1;12500;12500; 2453400; 7.05;;161973;178759;178945
Condomínio Panamérica Park;2009-05-04;1;3731;3000; 473130; 7.51;;99963;76847;40626
TNL Contax SA;2009-07-30;1;4840;4840; 872362; 7.51;;66810;59718;62395
Valeo Sistemas Automotivos Ltda - Divisão Iluminação;2009-08-26;1;3000;3000; 540720; 7.51;;35341;44974;43292
Baxter Hospitalar Ltda;2009-08-03;1;12000;12000; 1536480; 7.05;;;;
Intermarcos Administradora Ltda;2009-09-01;1;11903;10001; 846085; 7.05;;157436;147583;137298
Lorenzetti SA Indústrias Brasileiras Eletrometalúrgicas;2009-10-26;1;3000;3000; 564480; 7.84;-;58943;55626;50478
Givaudan do Brasil Ltda;2009-10-13;1;3000;3000; 663264; 7.84;;;;
Saint-Gobain Distribuição Brasil Ltda;2009-12-01;1;2359;3000; 282240; 7.84;;;;
Andorinha Supermercado Ltda;2009-11-23;1;3000;3000; 747936; 7.84;;;;
Consórcio Shopping Vila Olímpia;2009-12-30;1;7200;3100; 583296; 7.84;;86400;85454;97909
Duratex S/A;2010-01-28;1;11000;11000; 1943040; 7.36; 7.36;144991;138699;90678
Empresa Brasileira de Correios e Telégrafos;2010-02-23;1;17126;20001; 1624881; 6.77;;261830;256569;226629
Panificadora Cepam Ltda;2010-03-31;1;3000;3000; 564480; 7.84; 7.84;49029;59710;48151
Condomínio Edifício Milano e Torino;2010-02-26;1;3000;3000; 564480; 7.84;;37695;37508;34616
Kellogg Brasil Ltda;2009-12-01;1;3000;3000; 638515; 7.84;;39728;47873;45275
Grupo Seb do Brasil Produtos Cosméticos;2009-12-15;1;1800;1001; 153273; 6.38; 6.38;8174;12985;11767
Nambei Indústria de Condutores Elétricos Ltda;2010-04-28;1;1000;1000; 213360; 8.89; 8.89;15440;16431;13501
Hospital San Paolo Ltda;2010-04-30;1;1500;3000; 564480; 7.84; 7.84;;;
Toyota do Brasil Ltda;2010-03-25;1;4109;3000; 470880; 6.54;;49308;32958;52189
Condomínio Edifício Barão de Ouro Branco;2010-05-18;1;600;1001; 201081; 8.37; 8.37;2773;8481;7521
Casa de Nossa Senhora da Paz - Ação Social Franciscana;2009-11-11;1;5000;6000; 652320; 4.53;;67216;61936;82919
Condomínio Edifício Grande Avenida;2010-05-24;1;677;739; 157673; 8.89; 8.89;10177;10831;10756
Condomínio Edifício Mário Wallace Simonsem Cochrane ;2010-05-24;1;1017;680; 145085; 8.89; 8.89;10644;10493;9118
Federação do Comércio de Bens. Serviços e Turismo do Estado de São Paulo;2010-06-18;1;842;670; 142951; 8.49; 8.49;10299;10385;10088
Gerresheimer Plásticos São Paulo Ltda;2010-05-12;1;500;500; 11670; 8.89; 8.89;;;
Condomínio Edifício Paulista Classic Flat;2010-06-11;1;1001;1001; 201081; 8.37; 8.37;15163;13302;12272
Condomínio Edifício Saint Charbel;2010-06-11;1;600;600; 128016; 8.89; 8.89;10869;10628;9082
Condomínio Edifício Hyde Park;2010-06-29;1;800;800; 170688; 8.89; 8.89;10707;10025;10469
Condomínio Edifício Sir Winston Churchill;2010-06-24;1;3140;3140; 590822; 7.84; 7.84;42107;43514;40518
Edifício Cristal Tower;2010-06-24;1;500;500; 106680; 8.89; 8.89;7014;7325;6207
Coats Corrente;2010-06-10;1;4128;3000; 282240; 7.84;;51633;52506;39891
Condomínio  Edifício Parque Paulista;2010-07-19;1;748;; 159593; 8.89; 8.89;13331;12909;12543
Brassinter S/A Indústria e Comércio;2010-06-14;1;1100;1100; 110484; 8.37;;12978;15308;13709
Museu de Arte de São Paulo Assis Chateaubriand - Masp;2010-07-01;1;1001;1001; 201081; 8.37; 8.37;15739;18757;18515
Condomínio Taubaté Shopping Center;2010-07-23;3;5500;5500; 1793880; 4.53; 4.53;65183;61110;61530
Condomínio Edifício Patrimonio;2010-07-26;1;616;; 131430; 8.89; 8.89;9674;10452;8578
Banco Safra S/A;2010-07-19;1;1001;1500; 201081; 8.37; 8.37;16272;14563;18958
Boehringer Ingelheim do Brasil Química e Farmacêutica Ltda;2009-09-01;1;10001;10001; 1350000; 7.05;;120899;106138;99708
Igreja Universal do Reino de Deus;2010-07-22;1;3000;3000; 564480; 7.84; 7.84;37531;38545;35800
Mayekawa do Brasil Refrigeração LTDA;2010-09-01;1;500;500; 53340; 8.89;;7131;5787;5289
Ford Motor Company Brasil Ltda;2010-02-01;1;30001;30001; 2738467; 5.32; 2.22;370007;389661;319445
Condomínio Edifício Medical Center Paulista;2010-08-23;1;1991;1991; 399952; 8.37; 8.37;26689;26551;24617
Condomínio Edifício Icon Faria Lima;2010-08-23;1;1001;1001; 201081; 8.37; 8.37;16313;17215;16788
Brazilian Financial Center;2010-08-31;1;4500;3000; 564480; 7.84; 7.84;54000;29701;51223
Zanettini Barossi SA Indústria e Comércio;2010-09-21;1;620;1001; 201081; 8.37; 8.37;7440;2894;7173
Condomínio Top Center;2010-09-27;1;3000;3000; 564480; 7.84; 7.84;45107;47570;42782
Gomes e Mirandez Restaurante. Lanchonete. Pizzaria e Conveniências Ltda;2010-09-27;1;500;500; 106680; 8.89; 8.89;7127;6844;5589
Fundação Escola de Comércio Álvares Penteado;2010-09-24;1;627;627; 139194; 9.25; 9.25;8243;8113;7138
Amico Saúde Ltda;2010-09-30;1;3000;2670; 536350; 8.37; 8.37;14336;49082;53895
Serasa SA;2010-09-30;1;1060;1060; 212932; 8.37; 8.37;21541;21175;22367
Siscom Sistema de Cobrança Modular Ltda;2010-08-03;1;500;500; 88920; 7.41; 7.41;7685;9492;8645
Leroy Merlin Companhia Brasileira de Bricolagem;2010-09-22;1;1339;1001; 201080; 8.37; 8.37;16068;10533;20554
Condomínio Edifício Crystal Tower Office;2010-10-22;1;825;825; 183150; 9.25; 9.25;;;
Condomínio Edifício Juscelino Plaza;2010-10-22;1;617;720; 159840; 9.25; 9.25;8845;8243;9576
Condomínio Centro Administrativo Santo Amaro;2010-10-01;1;2781;2400; 501696; 8.71; 8.71;33372;18595;34165
Akzo Nobel Ltda;2010-09-20;2;500;500; 88920; 7.41;;5687;5260;5551
Apsen Farmacêutica SA;2010-09-20;1;2326;1700; 355368; 8.71; 8.71;13250;26042;25946
Topcau Indústria e Comércio de Chocolates Ltda;2010-10-27;1;500;500; 111000; 9.25; 9.25;11741;8886;8826
Clínica São Jorge Serviços Nefrológicos Ltda;2010-11-04;1;630;630; 139860; 9.25; 9.25;10442;9127;8606
Condomínio Edifícios New York e Los Angeles;2010-10-20;1;3000;3000; 587520; 8.16; 8.16;44523;48889;42759
H Louis Baxmann Produtos Metalúrgicos Ltda;2010-11-16;1;1075;1250; 261300; 8.71; 8.71;12900;705;12459
Condomínio Higienópolis Medical Center;2010-11-26;1;2034;1685; 354323; 8.71; 8.71;7531;29222;30018
Edifício Saliba;2010-11-25;1;1310;1310; 273842; 8.71; 8.71;22251;21644;21343
Condomínio Conjunto Comercial Paraíso;2010-12-01;1;730;730; 162060; 9.25; 9.25;9350;9418;11159
Hospital Infantil Sabará SA;2010-12-16;1;1001;1001; 209249; 8.71; 8.71;;;
Condomínio Edifício Maria José;2010-12-13;1;534;534; 118548; 9.25; 9.25;7916;7902;6515
Condomínio Edifício Dornier Merkur;2010-12-15;1;651;651; 144522; 9.25; 9.25;8411;8990;8069
Condomínio Edifício La Concorde Jardim Europa;2010-12-05;1;680;680; 150960; 9.25; 9.25;10158;9402;10036
Condomínio Edifício Barão de Água Branca;2010-12-15;1;550;500; 118560; 9.88; 9.88;1214;6321;7484
Condomínio Edifício Pekelman;2010-12-15;1;500;500; 111000; 9.25; 9.25;6394;6478;6501
Condomínio Edifício Midas;2010-12-15;1;600;621; 137862; 9.25; 9.25;;;
M Cassab Com e Ind Ltda;2010-12-01;5;1001;1001; 1046245; 8.71; 8.71;12947;10931;12058
Condomínio Edifício Denver Office Center e Edifício Austin Office Center;2011-01-17;1;1001;834; 185148; 9.25; 9.25;13184;12950;11751
Nefros - Unidade de Nefrologia e Hipertensão Sociedade Simples Ltda;2011-01-04;1;500;500; 111000; 9.25; 9.25;;;
Dovac Ind e Com Ltda;2011-01-01;3;3000;3000; 1224288; 7.36; 9.94;;;
Produquímica Indústria e Comércio SA;2011-01-31;1;500;500; 111000; 9.25; 9.25;10577;10980;9419
Globo Comunicações e Participações SA;2011-01-01;5;1800;1800; 1881360; 8.71; 8.71;26775;30469;26756
