Alvorada|RS|197441|140|70.9|82
Alvorada|TO|8354|2||
Alvorada D'Oeste|RO|16404|0|0.0|2620
Alvorada de Minas|MG|3549|0||
Alvorada do Gurguéia|PI|5177|0||
Alvorada do Norte|GO|8164|2||
Alvorada do Sul|PR|10439|3|28.7|756
Além Paraíba|MG|34461|2|5.8|2414
Amajari|RR|9936|3||
Amambai|MS|35523|15|42.2|406
Amaporã|PR|5562|1||
Amapá|AP|8213|2||
Amapá do Maranhão|MA|6583|0||
Amaraji|PE|22035|9|40.8|440
Amaral Ferrador|RS|6446|0||
Amaralina|GO|3489|0||
Amarante|PI|17173|0|0.0|2620
Amarante do Maranhão|MA|38953|9|23.1|1011
Amargosa|BA|34845|2|5.7|2420
Amaturá|AM|9794|4||
Americana|SP|214873|16|7.4|2242
Americano do Brasil|GO|5595|1||
Ametista do Sul|RS|7310|1||
Amontada|CE|40274|10|24.8|934
Amorinópolis|GO|3529|1||
Amparo|PB|2119|0||
Amparo|SP|66649|4|6.0|2396
Amparo de São Francisco|SE|2290|0||
Amparo do Serra|MG|4910|0||
Ampére|PR|17563|5|28.5|771
Amélia Rodrigues|BA|25080|19|75.8|63
América Dourada|BA|15962|1|6.3|2375
Américo Brasiliense|SP|35413|3|8.5|2135
Américo de Campos|SP|5723|1||
Anadia|AL|17360|8|46.1|338
Anagé|BA|19889|4|20.1|1158
Anahy|PR|2854|0||
Anajatuba|MA|25955|1|3.9|2566
Anajás|PA|25731|1|3.9|2563
Analândia|SP|4401|0||
Anamã|AM|10766|1|9.3|2028
Ananindeua|PA|483821|608|125.7|5
Ananás|TO|9768|2||
Anapu|PA|22225|6|27.0|834
Anapurus|MA|14492|2|13.8|1667
Anastácio|MS|24041|8|33.3|622
Anaurilândia|MS|8575|1||
Anchieta|ES|24616|5|20.3|1144
Anchieta|SC|6172|0||
Andaraí|BA|13942|0|0.0|2620
Andirá|PR|20451|7|34.2|592
Andorinha|BA|14209|1|7.0|2286
Andradas|MG|37920|1|2.6|2602
Andradina|SP|55361|5|9.0|2068
Andrelândia|MG|12153|1|8.2|2161
André da Rocha|RS|1232|0||
Angatuba|SP|22650|2|8.8|2091
Angelim|PE|10372|2|19.3|1212
Angelina|SC|5171|0||
Angelândia|MG|8084|2||
Angical|BA|13992|0|0.0|2620
Angical do Piauí|PI|6655|0||
Angico|TO|3219|2||
Angicos|RN|11538|0|0.0|2620
Angra dos Reis|RJ|177101|55|31.1|677
Anguera|BA|10427|0|0.0|2620
Angélica|MS|9462|2||
Anhanguera|GO|1039|0||
Anhembi|SP|5822|2||
Anhumas|SP|3788|0||
Anicuns|GO|20464|2|9.8|1951
Anita Garibaldi|SC|8374|0||
Anitápolis|SC|3211|0||
Anori|AM|17072|0|0.0|2620
Anta Gorda|RS|6035|0||
Antas|BA|17526|1|5.7|2427
Antonina|PR|18849|3|15.9|1508
Antonina do Norte|CE|7056|1||
Antônio Almeida|PI|3068|0||
Antônio Cardoso|BA|11545|0|0.0|2620
Antônio Carlos|MG|11151|0|0.0|2620
Antônio Carlos|SC|7613|1||
Antônio Dias|MG|9493|2||
Antônio Gonçalves|BA|11229|2|17.8|1345
Antônio João|MS|8329|4||
Antônio Martins|RN|6930|2||
Antônio Olinto|PR|7343|0||
Antônio Prado|RS|12821|0|0.0|2620
Antônio Prado de Minas|MG|1653|0||
Anápolis|GO|342347|160|46.7|322
Anísio de Abreu|PI|9385|1||
Aparecida|PB|7832|0||
Aparecida|SP|35023|13|37.1|511
Aparecida d'Oeste|SP|4377|0||
Aparecida de Goiânia|GO|474219|298|62.8|128
Aparecida do Rio Doce|GO|2431|0||
Aparecida do Rio Negro|TO|4319|0||
Aparecida do Taboado|MS|22912|2|8.7|2107
Aperibé|RJ|10545|1|9.5|1999
Apiacá|ES|7497|0||
Apiacás|MT|8855|5||
Apiaí|SP|24894|0|0.0|2620
Apicum-Açu|MA|15542|3|19.3|1210
Apiúna|SC|9764|0||
Apodi|RN|34852|3|8.6|2122
Aporá|BA|17877|2|11.2|1850
Aporé|GO|3860|1||
Apuarema|BA|7397|2||
Apucarana|PR|122896|19|15.5|1547
Apuiarés|CE|14135|4|28.3|781
Apuí|AM|18633|6|32.2|647
Aquidabã|SE|20315|2|9.8|1939
Aquidauana|MS|45943|7|15.2|1570
Aquiraz|CE|74465|54|72.5|73
Arabutã|SC|4198|0||
Aracaju|SE|587701|351|59.7|166
Aracati|CE|70363|25|35.5|554
Aracatu|BA|13542|0|0.0|2620
Araci|BA|52325|5|9.6|1991
Aracitaba|MG|2054|0||
Aracoiaba|CE|25592|7|27.4|818
Aracruz|ES|84429|33|39.1|471
Aragarças|GO|18564|4|21.5|1084
Aragoiânia|GO|8659|3||
Aragominas|TO|5838|0||
Araguacema|TO|6454|1||
Araguaiana|MT|3163|0||
Araguainha|MT|1058|0||
Araguanã|MA|14407|0|0.0|2620
Araguanã|TO|5157|1||
Araguapaz|GO|7541|0||
Araguari|MG|110983|20|18.0|1328
Araguatins|TO|32133|7|21.8|1071
Araguaçu|TO|8702|2||
Araguaína|TO|156123|76|48.7|291
Araioses|MA|43653|2|4.6|2519
Aral Moreira|MS|10583|2|18.9|1252
Aramari|BA|10483|2|19.1|1237
Arambaré|RS|3660|0||
Arame|MA|31729|0|0.0|2620
Aramina|SP|5211|0||
Arandu|SP|6132|0||
Arantina|MG|2811|0||
Arapeí|SP|2475|0||
Arapiraca|AL|218140|215|98.6|21
Arapoema|TO|6700|0||
Araponga|MG|8188|1||
Arapongas|PR|106978|19|17.8|1346
Araporã|MG|6271|0||
Arapoti|PR|26153|4|15.3|1565
Araputanga|MT|15594|2|12.8|1726
Arapuá|MG|2780|0||
Arapuã|PR|3469|2||
Araquari|SC|26875|8|29.8|712
Arara|PB|12820|2|15.6|1535
Araranguá|SC|62308|10|16.0|1496
Araraquara|SP|212617|36|16.9|1410
Araras|SP|121055|15|12.4|1769
Ararendá|CE|10564|1|9.5|2002
Arari|MA|28809|1|3.5|2575
Araricá|RS|4990|1||
Araripe|CE|20848|6|28.8|750
Araripina|PE|78270|20|25.6|898
Araruama|RJ|116418|48|41.2|429
Araruna|PB|19076|1|5.2|2475
Araruna|PR|13471|0|0.0|2620
Arataca|BA|10307|2|19.4|1204
Aratiba|RS|6482|1||
Aratuba|CE|11404|4|35.1|571
Aratuípe|BA|8632|1||
Araucária|PR|122878|73|59.4|168
Arauá|SE|9495|3||
Araxá|MG|95888|11|11.5|1830
Araçagi|PB|17093|3|17.6|1364
Araçariguama|SP|17975|11|61.2|148
Araças|BA|11642|2|17.2|1401
Araçatuba|SP|183441|36|19.6|1189
Araçaí|MG|2258|0||
Araçoiaba|PE|18617|4|21.5|1089
Araçoiaba da Serra|SP|28429|2|7.0|2287
Araçu|GO|3753|0||
Araçuaí|MG|36059|13|36.1|539
Araújos|MG|8135|0||
Arceburgo|MG|9732|0||
Arco-Íris|SP|1890|0||
Arcos|MG|37188|0|0.0|2620
Arcoverde|PE|69880|21|30.1|704
Areado|MG|13958|2|14.3|1639
Areal|RJ|11654|0|0.0|2620
Arealva|SP|7932|0||
Areia|PB|23391|3|12.8|1727
Areia Branca|RN|25736|4|15.5|1541
Areia Branca|SE|17164|8|46.6|329
Areia de Baraúnas|PB|1901|0||
Areial|PB|6536|0||
Areias|SP|3711|0||
Areiópolis|SP|10622|0|0.0|2620
Arenápolis|MT|10122|6|59.3|170
Arenópolis|GO|3168|0||
Argirita|MG|2860|0||
Aricanduva|MG|4848|0||
Arinos|MG|17669|5|28.3|782
Aripuanã|MT|19344|6|31.0|678
Ariquemes|RO|92747|69|74.4|68
Ariranha|SP|8709|1||
Ariranha do Ivaí|PR|2389|0||
Armazém|SC|7886|0||
Armação dos Búzios|RJ|28973|16|55.2|209
Arneiroz|CE|7667|0||
Aroazes|PI|5742|0||
Aroeiras|PB|19016|4|21.0|1110
Aroeiras do Itaim|PI|2442|0||
Arraial|PI|4655|1||
Arraial do Cabo|RJ|28295|4|14.1|1652
Arraias|TO|10594|3|28.3|780
Arroio Grande|RS|18368|1|5.4|2461
Arroio Trinta|SC|3504|0||
Arroio do Meio|RS|19060|2|10.5|1897
Arroio do Padre|RS|2756|0||
Arroio do Sal|RS|8113|1||
Arroio do Tigre|RS|12774|1|7.8|2207
Arroio dos Ratos|RS|13647|1|7.3|2257
Artur Nogueira|SP|45847|2|4.4|2530
Aruanã|GO|7859|2||
Arujá|SP|77279|24|31.1|676
Arvoredo|SC|2254|0||
Arvorezinha|RS|10220|0|0.0|2620
Arês|RN|13166|0|0.0|2620
Ascurra|SC|7485|1||
Aspásia|SP|1802|0||
Assaré|CE|22633|7|30.9|680
Assaí|PR|16099|3|18.6|1274
Assis|SP|96336|8|8.3|2156
Assis Brasil|AC|6308|0||
Assis Chateaubriand|PR|32981|13|39.4|464
Assunção|PB|3607|0||
Assunção do Piauí|PI|7590|0||
Astolfo Dutra|MG|13237|0|0.0|2620
Astorga|PR|24859|3|12.1|1785
Atalaia|AL|44892|30|66.8|103
Atalaia|PR|3898|0||
Atalaia do Norte|AM|15924|0|0.0|2620
Atalanta|SC|3281|0||
Ataléia|MG|14109|5|35.4|560
Atibaia|SP|128914|15|11.6|1817
Atilio Vivacqua|ES|10080|1|9.9|1934
Augustinópolis|TO|16401|4|24.4|953
Augusto Corrêa|PA|41628|6|14.4|1630
Augusto Pestana|RS|6990|0||
Augusto Severo|RN|9330|0||
Augusto de Lima|MG|4930|0||
Aurelino Leal|BA|13059|2|15.3|1562
Auriflama|SP|14307|0|0.0|2620
Aurilândia|GO|3562|2||
Aurora|CE|24470|5|20.4|1137
Aurora|SC|5561|0||
Aurora do Pará|PA|27576|4|14.5|1620
Aurora do Tocantins|TO|3499|0||
Autazes|AM|33312|6|18.0|1329
Avanhandava|SP|11685|1|8.6|2126
Avaré|SP|83910|8|9.5|1993
Avaí|SP|5014|0||
Aveiro|PA|15899|4|25.2|918
Avelino Lopes|PI|11258|0|0.0|2620
Avelinópolis|GO|2442|0||
Axixá|MA|11599|0|0.0|2620
Axixá do Tocantins|TO|9343|1||
Açailândia|MA|106422|44|41.3|425
Açu|RN|54031|16|29.6|716
