Alto Paraná|PR|13806|3434|3|**|**
Alto Paraíso|PR|3119|726|1|**|**
Alto Paraíso|RO|17742|4631|1|**|**
Alto Paraíso de Goiás|GO|6992|1921|0|**|**
Alto Parnaíba|MA|10856|2966|0|**|**
Alto Piquiri|PR|10092|2576|0|**|**
Alto Rio Doce|MG|11903|2908|0|**|**
Alto Rio Novo|ES|7371|1855|0|**|**
Alto Santo|CE|16505|4631|4|**|**
Alto Taquari|MT|8615|2539|0|**|**
Alto do Rodrigues|RN|12729|3642|1|**|**
Altos|PI|39232|10992|5|45.5|386
Altônia|PR|20711|4941|0|**|**
Alumínio|SP|17079|4568|1|**|**
Alvarenga|MG|4329|1046|1|**|**
Alvarães|AM|14381|4003|0|**|**
Alvinlândia|SP|3025|736|0|**|**
Alvinópolis|MG|15212|3663|2|**|**
Alvorada|RS|197441|52058|90|172.9|28
Alvorada|TO|8354|2192|0|**|**
Alvorada D'Oeste|RO|16404|4464|0|**|**
Alvorada de Minas|MG|3549|872|0|**|**
Alvorada do Gurguéia|PI|5177|1432|0|**|**
Alvorada do Norte|GO|8164|2157|1|**|**
Alvorada do Sul|PR|10439|2616|0|**|**
Além Paraíba|MG|34461|7943|0|**|**
Amajari|RR|9936|2452|1|**|**
Amambai|MS|35523|9557|6|**|**
Amaporã|PR|5562|1507|0|**|**
Amapá|AP|8213|2380|0|**|**
Amapá do Maranhão|MA|6583|1896|0|**|**
Amaraji|PE|22035|6342|3|**|**
Amaral Ferrador|RS|6446|1519|0|**|**
Amaralina|GO|3489|836|0|**|**
Amarante|PI|17173|4408|0|**|**
Amarante do Maranhão|MA|38953|10651|3|28.2|528
Amargosa|BA|34845|9365|1|**|**
Amaturá|AM|9794|2912|3|**|**
Americana|SP|214873|54121|7|12.9|706
Americano do Brasil|GO|5595|1362|0|**|**
Ametista do Sul|RS|7310|1751|1|**|**
Amontada|CE|40274|11796|2|17.0|656
Amorinópolis|GO|3529|688|0|**|**
Amparo|PB|2119|581|0|**|**
Amparo|SP|66649|16974|3|17.7|646
Amparo de São Francisco|SE|2290|643|0|**|**
Amparo do Serra|MG|4910|1114|0|**|**
Ampére|PR|17563|4598|3|**|**
Amélia Rodrigues|BA|25080|6944|13|**|**
América Dourada|BA|15962|4223|0|**|**
Américo Brasiliense|SP|35413|10130|2|19.7|620
Américo de Campos|SP|5723|1260|1|**|**
Anadia|AL|17360|4862|4|**|**
