Rio Preto da Eva;AM;26.948;10;37,1;512
Apuí;AM;18.633;6;32,2;647
Humaitá;AM;45.954;14;30,5;696
Coari;AM;77.305;22;28,5;772
Benjamin Constant;AM;34.950;8;22,9;1024
Manicoré;AM;48.373;11;22,7;1032
Novo Aripuanã;AM;22.106;5;22,6;1038
Alvarães;AM;14.381;3;20,9;1118
Santa Isabel do Rio Negro;AM;19.292;4;20,7;1125
Itacoatiara;AM;89.064;18;20,2;1149
Novo Airão;AM;15.489;3;19,4;1206
Carauari;AM;26.130;5;19,1;1227
Eirunepé;AM;31.364;6;19,1;1230
Maués;AM;54.079;10;18,5;1290
Autazes;AM;33.312;6;18,0;1329
Urucará;AM;16.902;3;17,7;1349
Juruá;AM;11.439;2;17,5;1368
Presidente Figueiredo;AM;28.652;5;17,5;1375
Manacapuru;AM;86.985;15;17,2;1395
Boca do Acre;AM;31.171;5;16,0;1499
Tefé;AM;61.000;9;14,8;1601
Guajará;AM;14.396;2;13,9;1659
São Gabriel da Cachoeira;AM;39.097;5;12,8;1733
Boa Vista do Ramos;AM;15.659;2;12,8;1735
Beruri;AM;16.158;2;12,4;1771
Manaquiri;AM;24.325;3;12,3;1773
Iranduba;AM;41.947;5;11,9;1799
Tapauá;AM;17.903;2;11,2;1852
Borba;AM;35.919;4;11,1;1854
Nova Olinda do Norte;AM;31.749;3;9,4;2005
Anamã;AM;10.766;1;9,3;2028
Careiro;AM;33.517;3;9,0;2079
Caapiranga;AM;11.303;1;8,8;2089
Lábrea;AM;39.022;3;7,7;2220
Barreirinha;AM;28.077;2;7,1;2279
Envira;AM;16.923;1;5,9;2407
Parintins;AM;103.828;6;5,8;2417
Fonte Boa;AM;23.198;1;4,3;2534
Ipixuna;AM;23.460;1;4,3;2537
Codajás;AM;24.067;1;4,2;2543
Santo Antônio do Içá;AM;24.890;1;4,0;2553
São Paulo de Olivença;AM;32.677;1;3,1;2591
Anori;AM;17.072;0;0,0;2620
Atalaia do Norte;AM;15.924;0;0,0;2620
Canutama;AM;13.986;0;0,0;2620
Careiro da Várzea;AM;24.937;0;0,0;2620
Jutaí;AM;18.293;0;0,0;2620
Maraã;AM;17.596;0;0,0;2620
Nhamundá;AM;18.720;0;0,0;2620
Pauini;AM;18.329;0;0,0;2620
São Sebastião do Uatumã;AM;11.241;0;0,0;2620
Tonantins;AM;17.316;0;0,0;2620
Uarini;AM;12.139;0;0,0;2620
Urucurituba;AM;18.679;0;0,0;2620
Amaturá;AM;9.794;4;;
Itamarati;AM;7.983;0;;
Itapiranga;AM;8.348;0;;
Japurá;AM;7.448;0;;
Silves;AM;8.544;1;;
Pedra Branca do Amapari;AP;11.794;6;50,9;267
Oiapoque;AP;21.661;10;46,2;335
Porto Grande;AP;17.680;8;45,2;348
Laranjal do Jari;AP;41.668;17;40,8;441
Tartarugalzinho;AP;13.385;5;37,4;508
Macapá;AP;415.554;153;36,8;520
Santana;AP;104.407;37;35,4;561
Vitória do Jari;AP;13.013;4;30,7;684
Mazagão;AP;17.794;3;16,9;1422
Amapá;AP;8.213;2;;
Calçoene;AP;9.343;1;;
Cutias;AP;4.910;0;;
Ferreira Gomes;AP;6.141;2;;
Itaubal;AP;4.473;2;;
Pracuúba;AP;4.021;1;;
Serra do Navio;AP;4.545;0;;
Mata de São João;BA;41.527;62;149,3;2
Simões Filho;BA;121.416;159;131,0;3
Ibirapitanga;BA;22.683;28;123,4;6
Itaparica;BA;20.994;25;119,1;8
Porto Seguro;BA;131.642;152;115,5;10
Itabuna;BA;205.885;225;109,3;12
Lauro de Freitas;BA;171.042;177;103,5;17
Eunápolis;BA;102.628;102;99,4;19
Ilhéus;BA;187.315;169;90,2;33
Valença;BA;90.319;78;86,4;41
Teixeira de Freitas;BA;143.001;123;86,0;42
Pojuca;BA;34.106;28;82,1;49
Camaçari;BA;255.238;209;81,9;50
Saubara;BA;11.354;9;79,3;53
Amélia Rodrigues;BA;25.080;19;75,8;63
Alagoinhas;BA;143.460;107;74,6;65
Candeias;BA;84.121;61;72,5;74
Itajuípe;BA;20.878;15;71,8;78
Madre de Deus;BA;18.183;13;71,5;79
Ituberá;BA;26.930;19;70,6;85
Coaraci;BA;19.937;14;70,2;86
Vitória da Conquista;BA;315.884;219;69,3;90
Medeiros Neto;BA;21.642;15;69,3;91
Itamaraju;BA;63.037;42;66,6;105
Camacan;BA;31.535;21;66,6;106
Dias d'Ávila;BA;69.628;46;66,1;109
Esplanada;BA;33.618;22;65,4;113
Itacaré;BA;25.254;16;63,4;122
Itaberaba;BA;62.037;39;62,9;127
Feira de Santana;BA;568.099;349;61,4;144
Santa Luzia;BA;13.025;8;61,4;145
Jequié;BA;152.372;93;61,0;152
João Dourado;BA;23.066;14;60,7;154
Salvador;BA;2.710.968;1644;60,6;156
Buerarema;BA;18.528;11;59,4;169
Juazeiro;BA;201.499;115;57,1;188
Santo Amaro;BA;57.978;33;56,9;191
Abaré;BA;17.685;10;56,5;195
