 157 º; José Bonifácio (SP); 0,777; 0,752; 0,869; 0,717
 157 º; Louveira (SP); 0,777; 0,783; 0,861; 0,697
 157 º; Jacareí (SP); 0,777; 0,749; 0,837; 0,749
 168 º; Iracemápolis (SP); 0,776; 0,742; 0,863; 0,729
 168 º; Bragança Paulista (SP); 0,776; 0,772; 0,861; 0,704
 168 º; Jales (SP); 0,776; 0,750; 0,855; 0,730
 168 º; Osasco (SP); 0,776; 0,776; 0,840; 0,718
 168 º; Araçoiaba da Serra (SP); 0,776; 0,751; 0,860; 0,723
 168 º; Pirapozinho (SP); 0,776; 0,740; 0,863; 0,733
 168 º; Dracena (SP); 0,776; 0,752; 0,842; 0,737
 178 º; Limeira (SP); 0,775; 0,761; 0,852; 0,719
 178 º; Santa Rita do Passa Quatro (SP); 0,775; 0,764; 0,887; 0,686
 185 º; Mogi Guaçu (SP); 0,774; 0,740; 0,852; 0,736
 185 º; Cruzália (SP); 0,774; 0,698; 0,853; 0,778
 185 º; São José do Rio Pardo (SP); 0,774; 0,744; 0,868; 0,717
 185 º; Pedrinhas Paulista (SP); 0,774; 0,749; 0,837; 0,739
 197 º; Itu (SP); 0,773; 0,782; 0,854; 0,692
 197 º; Auriflama (SP); 0,773; 0,746; 0,840; 0,738
 197 º; Santana da Ponte Pensa (SP); 0,773; 0,751; 0,840; 0,733
 197 º; Pindamonhangaba (SP); 0,773; 0,745; 0,843; 0,736
 197 º; Olímpia (SP); 0,773; 0,737; 0,867; 0,724
 197 º; Matão (SP); 0,773; 0,766; 0,847; 0,713
 197 º; Sebastianópolis do Sul (SP); 0,773; 0,748; 0,835; 0,740
 210 º; São Sebastião (SP); 0,772; 0,747; 0,875; 0,703
 210 º; Sales Oliveira (SP); 0,772; 0,738; 0,845; 0,739
 210 º; Monções (SP); 0,772; 0,731; 0,814; 0,773
 210 º; Santa Salete (SP); 0,772; 0,712; 0,864; 0,748
 220 º; Maracaí (SP); 0,771; 0,711; 0,850; 0,758
 220 º; Poá (SP); 0,771; 0,710; 0,856; 0,754
 220 º; Tupã (SP); 0,771; 0,764; 0,852; 0,704
 227 º; Ouroeste (SP); 0,770; 0,717; 0,866; 0,736
 227 º; Santa Rosa de Viterbo (SP); 0,770; 0,746; 0,868; 0,704
 227 º; Macatuba (SP); 0,770; 0,763; 0,859; 0,697
 227 º; Oriente (SP); 0,770; 0,717; 0,837; 0,761
 227 º; Vargem Grande Paulista (SP); 0,770; 0,755; 0,884; 0,683
 238 º; Tupi Paulista (SP); 0,769; 0,762; 0,835; 0,715
 238 º; Taboão da Serra (SP); 0,769; 0,742; 0,863; 0,710
 238 º; Cosmópolis (SP); 0,769; 0,746; 0,876; 0,697
